Focal;Neighbor;Condition;Pair;Tray;N;PN
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,941;0,018895287
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,417;0,006205784
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,281;0,01031941
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,214;0,008120179
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,154;0,039227895
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,77;0,005493377
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,765;0,044273636
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,073;0,002016129
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,298;0,01785903
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,48;0,025504862
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,142;0,017567831
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,022;0,060810811
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,975;0,034104294
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,98;0,076746911
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,886;0,031080593
Accroc;Accroc;Pure;Acc_Acc;K3_27;0,115;0,0219363
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,418;0,012690355
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,223;0,050128341
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,077;0,032500855
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,003;0
Accroc;Accroc;Pure;Acc_Acc;N1_26;0;0
Accroc;Accroc;Pure;Acc_Acc;N1_26;0;0
Accroc;Accroc;Pure;Acc_Acc;N1_26;0;0
Accroc;Accroc;Pure;Acc_Acc;N1_26;0,003;0,052631579
Accroc;Accroc;Pure;Acc_Acc;D1_25;0;0
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,94;0,050677583
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,724;0,022224563
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,274;0,024068579
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,25;0,035947712
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,253;0,031957672
Accroc;Accroc;Pure;Acc_Acc;D1_25;0,967;0,052723099
Accroc;Accroc;Pure;Acc_Acc;D1_25;0;0
Accroc;Rubisko;Mix;Acc_Rub;A4_23;0,402;0,069881149
Accroc;Rubisko;Mix;Acc_Rub;A4_23;0,505;0,025993502
Accroc;Rubisko;Mix;Acc_Rub;A4_23;0,393;0,036865649
Accroc;Rubisko;Mix;Acc_Rub;A4_23;0,926;0,037578468
Rubisko;Accroc;Mix;Rub_Acc;A4_23;0,251;0,063317073
Rubisko;Accroc;Mix;Rub_Acc;A4_23;0,211;0,015133481
Rubisko;Accroc;Mix;Rub_Acc;A4_23;0,367;0,062736884
Rubisko;Accroc;Mix;Rub_Acc;A4_23;0,426;0,076449086
Accroc;Rubisko;Mix;Acc_Rub;M1_20;0,158;0,064492622
Accroc;Rubisko;Mix;Acc_Rub;M1_20;0,099;0,052631579
Accroc;Rubisko;Mix;Acc_Rub;M1_20;0,964;0,021462106
Accroc;Rubisko;Mix;Acc_Rub;M1_20;0,868;0,057282691
