Focal;Neighbor;Pair;Condition;N;P;PN
Anvergur;Anvergur;Anvergur_Anvergur;Pure;100;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;75;8;10.7
Anvergur;Anvergur;Anvergur_Anvergur;Pure;75;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;77;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;60;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;5;0.5;10
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;3;1;33.3
Anvergur;Anvergur;Anvergur_Anvergur;Pure;2;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;2;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;2;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;1;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;2;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;15;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;3;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;5;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;0;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;25;0;0
Anvergur;Anvergur;Anvergur_Anvergur;Pure;45;35;77.8
Anvergur;Anvergur;Anvergur_Anvergur;Pure;100;50;50
Anvergur;Anvergur;Anvergur_Anvergur;Pure;100;27;27
Anvergur;Anvergur;Anvergur_Anvergur;Pure;100;20;20
Anvergur;Anvergur;Anvergur_Anvergur;Pure;90;25;27.8
Anvergur;Anvergur;Anvergur_Anvergur;Pure;55;18;32.7
Anvergur;Anvergur;Anvergur_Anvergur;Pure;100;3;3
Anvergur;Anvergur;Anvergur_Anvergur;Pure;18;6;33.3
Anvergur;Atoudur;Anvergur_Atoudur;Mix;100;6;6
Anvergur;Atoudur;Anvergur_Atoudur;Mix;100;3;3
Anvergur;Atoudur;Anvergur_Atoudur;Mix;85;50;58.8
Anvergur;Atoudur;Anvergur_Atoudur;Mix;25;7;28
Anvergur;Atoudur;Anvergur_Atoudur;Mix;65;17;26.2
Anvergur;Atoudur;Anvergur_Atoudur;Mix;90;30;33.3
Anvergur;Atoudur;Anvergur_Atoudur;Mix;100;0;0
Anvergur;Atoudur;Anvergur_Atoudur;Mix;100;2;2
Anvergur;Atoudur;Anvergur_Atoudur;Mix;25;7;28
Anvergur;Atoudur;Anvergur_Atoudur;Mix;15;2;13.3
Anvergur;Atoudur;Anvergur_Atoudur;Mix;12;2;16.7
Anvergur;Atoudur;Anvergur_Atoudur;Mix;55;12;21.8
Anvergur;Atoudur;Anvergur_Atoudur;Mix;90;30;33.3
Anvergur;Atoudur;Anvergur_Atoudur;Mix;100;25;25
Anvergur;Atoudur;Anvergur_Atoudur;Mix;70;22;31.4
Anvergur;Atoudur;Anvergur_Atoudur;Mix;50;30;60
Anvergur;Cultur;Anvergur_Cultur;Mix;40;2;5
Anvergur;Cultur;Anvergur_Cultur;Mix;30;4;13.3
Anvergur;Cultur;Anvergur_Cultur;Mix;3;0;0
Anvergur;Cultur;Anvergur_Cultur;Mix;0;0;0
Anvergur;Cultur;Anvergur_Cultur;Mix;18;5;27.8
Anvergur;Cultur;Anvergur_Cultur;Mix;5;1;20
Anvergur;Cultur;Anvergur_Cultur;Mix;0;0;0
Anvergur;Cultur;Anvergur_Cultur;Mix;100;3;3
Anvergur;Cultur;Anvergur_Cultur;Mix;75;2;2.7
Anvergur;Cultur;Anvergur_Cultur;Mix;12;3;25
Anvergur;Cultur;Anvergur_Cultur;Mix;100;7;7
Anvergur;Cultur;Anvergur_Cultur;Mix;100;42;42
Anvergur;Cultur;Anvergur_Cultur;Mix;100;0;0
Anvergur;Cultur;Anvergur_Cultur;Mix;100;3;3
Anvergur;Cultur;Anvergur_Cultur;Mix;100;2;2
Anvergur;Liberdur;Anvergur_Liberdur;Mix;75;45;60
Anvergur;Liberdur;Anvergur_Liberdur;Mix;63;30;47.6
Anvergur;Liberdur;Anvergur_Liberdur;Mix;55;15;27.3
Anvergur;Liberdur;Anvergur_Liberdur;Mix;97;18;18.6
Anvergur;Liberdur;Anvergur_Liberdur;Mix;10;3;30
Anvergur;Liberdur;Anvergur_Liberdur;Mix;5;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;0;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;2;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;0.5;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;1;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;1;0;0
Anvergur;Liberdur;Anvergur_Liberdur;Mix;25;2;8
Anvergur;Liberdur;Anvergur_Liberdur;Mix;75;1;1.3
Anvergur;Liberdur;Anvergur_Liberdur;Mix;70;1;1.4
Anvergur;Liberdur;Anvergur_Liberdur;Mix;22;0;0
Anvergur;Obelix;Anvergur_Obelix;Mix;100;20;20
Anvergur;Obelix;Anvergur_Obelix;Mix;100;20;20
Anvergur;Obelix;Anvergur_Obelix;Mix;5;0;0
Anvergur;Obelix;Anvergur_Obelix;Mix;17;5;29.4
Anvergur;Obelix;Anvergur_Obelix;Mix;100;40;40
Anvergur;Obelix;Anvergur_Obelix;Mix;50;20;40
